Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
34,多頭出場,2023-01-30 12:55,EXIT_TIME|XRD=-0.2778|BH=2,30.05,1,30.1,-0.05,-0.17,0,0.00,-0.05,-0.17,0.3,0.00
34,多頭進場,2023-01-30 12:45,ENTRY|RD=-0.2183|VR=2.3091|S1=-0.0311|S3=-0.0695|E5=-0.0415|E15=-0.0415|T5=-0.0104|T15=0.0281|RV10=0.0472|MSO=220|MTC=50|SID=4|SCT=1|HP=0,30.1,1,30.1,-0.05,-0.17,0,0.00,-0.05,-0.17,0.3,0.00
35,多頭出場,2023-02-06 09:30,EXIT_TIME|XRD=-0.2503|BH=2,29.9,1,29.9,0,0.00,0,0.00,-0.05,-0.17,0.3,0.00
35,多頭進場,2023-02-06 09:20,ENTRY|RD=-0.2086|VR=2.248|S1=-0.1669|S3=-0.2086|E5=-0.1669|E15=-0.2086|T5=0|T15=0|RV10=0.2857|MSO=15|MTC=255|SID=2|SCT=1|HP=0,29.9,1,29.9,0,0.00,0,0.00,-0.05,-0.17,0.3,0.00
36,多頭出場,2023-02-06 10:15,EXIT_TIME|XRD=-0.2086|BH=2,29.9,1,29.9,0,0.00,0,0.00,-0.05,-0.17,0.3,0.00
36,多頭進場,2023-02-06 10:05,ENTRY|RD=-0.292|VR=1.9152|S1=-0.0834|S3=-0.0834|E5=-0.0836|E15=-0.0836|T5=0|T15=0|RV10=0.0752|MSO=60|MTC=210|SID=4|SCT=2|HP=0,29.9,1,29.9,0,0.00,0,0.00,-0.05,-0.17,0.3,0.00
37,多頭出場,2023-02-10 09:25,EXIT_REVERSION|XRD=0|BH=1,30.25,1,30.2,0.05,0.17,0.05,0.17,0,0.00,0.35,0.00
37,多頭進場,2023-02-10 09:20,ENTRY|RD=-0.2478|VR=1.8828|S1=0.0413|S3=-0.2478|E5=0.0414|E15=-0.2478|T5=0|T15=0|RV10=0.0902|MSO=15|MTC=255|SID=2|SCT=1|HP=0,30.2,1,30.2,0.05,0.17,0.05,0.17,0,0.00,0.35,0.00
38,多頭出場,2023-02-10 12:30,EXIT_TIME|XRD=-0.1514|BH=2,30.25,1,30.25,0,0.00,0,0.00,0,0.00,0.35,0.00
38,多頭進場,2023-02-10 12:20,ENTRY|RD=-0.2303|VR=1.8893|S1=-0.0134|S3=0.0791|E5=0.0827|E15=0.0827|T5=0.0959|T15=0.0035|RV10=0.0455|MSO=195|MTC=75|SID=4|SCT=2|HP=0,30.25,1,30.25,0,0.00,0,0.00,0,0.00,0.35,0.00
