Trade number,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
42,多頭出場,2023-02-14 12:50,Close entry(s) order Long 0050,30.4,1,30.45,-0.05,-0.16,0,0.00,-0.05,-0.16,0.3,0.00
42,多頭進場,2023-02-14 12:45,Long 0050,30.45,1,30.45,-0.05,-0.16,0,0.00,-0.05,-0.16,0.3,0.00
43,多頭出場,2023-02-14 13:05,Close entry(s) order Long 0050,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.3,0.00
43,多頭進場,2023-02-14 13:00,Long 0050,30.45,1,30.45,0,0.00,0,0.00,0,0.00,0.3,0.00
44,多頭出場,2023-03-01 09:25,Close entry(s) order Long 0050,29.45,1,29.35,0.1,0.34,0.1,0.34,-0.05,-0.17,0.4,0.00
44,多頭進場,2023-03-01 09:15,Long 0050,29.35,1,29.35,0.1,0.34,0.1,0.34,-0.05,-0.17,0.4,0.00
45,多頭出場,2023-03-06 10:40,Close entry(s) order Long 0050,30.15,1,30.1,0.05,0.17,0.05,0.17,0,0.00,0.45,0.00
45,多頭進場,2023-03-06 10:35,Long 0050,30.1,1,30.1,0.05,0.17,0.05,0.17,0,0.00,0.45,0.00
46,多頭出場,2023-03-10 13:10,Close entry(s) order Long 0050,29.55,1,29.55,0,0.00,0.05,0.17,0,0.00,0.45,0.00
46,多頭進場,2023-03-10 13:00,Long 0050,29.55,1,29.55,0,0.00,0.05,0.17,0,0.00,0.45,0.00
47,多頭出場,2023-03-16 11:55,Close entry(s) order Long 0050,29.15,1,29.15,0,0.00,0.05,0.17,0,0.00,0.45,0.00
47,多頭進場,2023-03-16 11:50,Long 0050,29.15,1,29.15,0,0.00,0.05,0.17,0,0.00,0.45,0.00
48,多頭出場,2023-03-20 11:45,Close entry(s) order Long 0050,29.5,1,29.5,0,0.00,0.05,0.17,0,0.00,0.45,0.00
48,多頭進場,2023-03-20 11:35,Long 0050,29.5,1,29.5,0,0.00,0.05,0.17,0,0.00,0.45,0.00
49,多頭出場,2023-03-20 12:15,Close entry(s) order Long 0050,29.5,1,29.5,0,0.00,0,0.00,0,0.00,0.45,0.00
49,多頭進場,2023-03-20 12:10,Long 0050,29.5,1,29.5,0,0.00,0,0.00,0,0.00,0.45,0.00
50,多頭出場,2023-03-20 12:55,Close entry(s) order Long 0050,29.5,1,29.5,0,0.00,0,0.00,-0.05,-0.17,0.45,0.00
50,多頭進場,2023-03-20 12:45,Long 0050,29.5,1,29.5,0,0.00,0,0.00,-0.05,-0.17,0.45,0.00
51,多頭出場,2023-05-17 12:50,Close entry(s) order Long 0050,30.15,1,30.15,0,0.00,0.05,0.17,-0.05,-0.17,0.45,0.00
51,多頭進場,2023-05-17 12:40,Long 0050,30.15,1,30.15,0,0.00,0.05,0.17,-0.05,-0.17,0.45,0.00
52,多頭出場,2023-05-17 13:05,Close entry(s) order Long 0050,30.15,1,30.15,0,0.00,0.05,0.17,0,0.00,0.45,0.00
52,多頭進場,2023-05-17 12:55,Long 0050,30.15,1,30.15,0,0.00,0.05,0.17,0,0.00,0.45,0.00
53,多頭出場,2023-05-19 11:00,Close entry(s) order Long 0050,30.65,1,30.6,0.05,0.16,0.05,0.16,0,0.00,0.5,0.00
53,多頭進場,2023-05-19 10:50,Long 0050,30.6,1,30.6,0.05,0.16,0.05,0.16,0,0.00,0.5,0.00
54,多頭出場,2023-05-24 09:35,Close entry(s) order Long 0050,30.4,1,30.4,0,0.00,0,0.00,-0.05,-0.16,0.5,0.00
54,多頭進場,2023-05-24 09:30,Long 0050,30.4,1,30.4,0,0.00,0,0.00,-0.05,-0.16,0.5,0.00
55,多頭出場,2023-05-24 10:00,Close entry(s) order Long 0050,30.35,1,30.4,-0.05,-0.16,0,0.00,-0.05,-0.16,0.45,0.00
55,多頭進場,2023-05-24 09:55,Long 0050,30.4,1,30.4,-0.05,-0.16,0,0.00,-0.05,-0.16,0.45,0.00
56,多頭出場,2023-05-30 11:10,Close entry(s) order Long 0050,31.7,1,31.7,0,0.00,0,0.00,0,0.00,0.45,0.00
56,多頭進場,2023-05-30 11:05,Long 0050,31.7,1,31.7,0,0.00,0,0.00,0,0.00,0.45,0.00
57,多頭出場,2023-06-21 13:10,Close entry(s) order Long 0050,32.75,1,32.6,0.15,0.46,0.15,0.46,0,0.00,0.6,0.00
57,多頭進場,2023-06-21 13:00,Long 0050,32.6,1,32.6,0.15,0.46,0.15,0.46,0,0.00,0.6,0.00
58,多頭出場,2023-07-19 10:05,Close entry(s) order Long 0050,32.55,1,32.55,0,0.00,0.05,0.15,0,0.00,0.6,0.00
58,多頭進場,2023-07-19 09:55,Long 0050,32.55,1,32.55,0,0.00,0.05,0.15,0,0.00,0.6,0.00
59,多頭出場,2023-07-21 09:35,Close entry(s) order Long 0050,31.8,1,31.75,0.05,0.16,0.05,0.16,-0.05,-0.16,0.65,0.00
59,多頭進場,2023-07-21 09:25,Long 0050,31.75,1,31.75,0.05,0.16,0.05,0.16,-0.05,-0.16,0.65,0.00
60,多頭出場,2023-07-21 11:55,Close entry(s) order Long 0050,31.8,1,31.8,0,0.00,0,0.00,0,0.00,0.65,0.00
60,多頭進場,2023-07-21 11:45,Long 0050,31.8,1,31.8,0,0.00,0,0.00,0,0.00,0.65,0.00
61,多頭出場,2023-07-21 12:15,Close entry(s) order Long 0050,31.8,1,31.8,0,0.00,0,0.00,-0.05,-0.16,0.65,0.00
61,多頭進場,2023-07-21 12:05,Long 0050,31.8,1,31.8,0,0.00,0,0.00,-0.05,-0.16,0.65,0.00
62,多頭出場,2023-08-01 09:20,Close entry(s) order Long 0050,32.35,1,32.35,0,0.00,0,0.00,0,0.00,0.65,0.00
